name,trip_count,route_count,geometry
(Theneyuru)I Basapura Gate,24,1,POINT (77.83624 13.22602)
10th Cross Magadi Road,911,126,POINT (77.55706 12.97574)
10th Stone NICE Road,150,13,POINT (77.4986 12.87273)
11th Block Anjanapura,7,3,POINT (77.57235 12.85225)
12th Block Nagarabhavi,352,44,POINT (77.51398 12.96018)
12th Main 7th Cross BTM Layout,20,5,POINT (77.61022 12.91385)
13th Main 7th Cross BTM Layout,30,2,POINT (77.61007 12.91405)
14th Main HSR Layout,1286,67,POINT (77.63472 12.91637)
16th Main Hopcoms BTM Layout,4,1,POINT (77.61036 12.91971)
18th Main Jayanagara,175,7,POINT (77.58964 12.92343)
19th Main 13th Cross HSR Layout,22,8,POINT (77.65175 12.91582)
1st Block Rajajinagara,806,42,POINT (77.54909 13.0047)
1st Block Vidyaranyapura,531,39,POINT (77.55539 13.07023)
1st Block Vishweshwaraiah Layout,65,6,POINT (77.47876 12.93747)
1st Cross Magadi Road,872,125,POINT (77.563 12.97569)
1st Main Kodichikkanahalli,1,1,POINT (77.6155 12.89847)
1st Stage 3rd Block Nagarabhavi,4,2,POINT (77.52158 12.9533)
1st Stage 3rd Block Nagarabhavi (Nayandahalli),163,10,POINT (77.52026 12.95302)
1st Stage 3rd Block Nagarabhavi (Summanahalli),173,18,POINT (77.52017 12.95286)
1st Stage HBR Layout,1,1,POINT (77.6263 13.02116)
2nd Stage  H B R Layout (2nd Cross),4,1,POINT (77.61208 13.03172)
2nd Stage 11th Block Nagarabhavi,2,2,POINT (77.51336 12.97758)
2nd Stage 9th Block Nagarabhavi,1,1,POINT (77.51027 12.96864)
2nd Stage H B R Layout (1st Main),4,1,POINT (77.61556 13.02881)
2nd Stage Kanteeravanagara,17,3,POINT (77.53901 13.01505)
2nd stage Kuvempunagara,33,9,POINT (77.54132 13.07313)
3rd Block Jayanagara,977,66,POINT (77.58392 12.9318)
3rd Block Jn Banashankari 6th Phase,81,4,POINT (77.51651 12.87818)
3rd Block Vidyaranyapura,528,37,POINT (77.55637 13.07223)
