name,trip_count,route_count,id,geometry
(Theneyuru)I Basapura Gate,24,1,168,POINT (77.83624 13.22602)
10th Cross Magadi Road,345,47,58n,POINT (77.55706 12.97574)
10th Cross Magadi Road,566,79,zp,POINT (77.55562 12.97556)
10th Stone NICE Road,64,2,17,POINT (77.4986 12.87273)
10th Stone NICE Road,86,11,cm,POINT (77.49865 12.87242)
11th Block Anjanapura,6,2,5lp,POINT (77.57235 12.85225)
11th Block Anjanapura,1,1,n1,POINT (77.57265 12.85224)
12th Block Nagarabhavi,96,17,4b6,POINT (77.51398 12.96018)
12th Block Nagarabhavi,256,27,ur,POINT (77.51351 12.96076)
12th Main 7th Cross BTM Layout,20,5,169,POINT (77.61022 12.91385)
13th Main 7th Cross BTM Layout,30,2,m8,POINT (77.61007 12.91405)
14th Main HSR Layout,675,34,1zx,POINT (77.63472 12.91637)
14th Main HSR Layout,611,33,3dz,POINT (77.63521 12.91619)
16th Main Hopcoms BTM Layout,4,1,3f9,POINT (77.61036 12.91971)
18th Main Jayanagara,82,2,44o,POINT (77.58964 12.92343)
18th Main Jayanagara,93,5,jk,POINT (77.58898 12.92328)
19th Main 13th Cross HSR Layout,11,4,2b6,POINT (77.65175 12.91582)
19th Main 13th Cross HSR Layout,11,4,2dy,POINT (77.65176 12.91593)
1st Block Rajajinagara,333,14,21d,POINT (77.54909 13.0047)
1st Block Rajajinagara,461,27,454,POINT (77.54887 13.00515)
1st Block Rajajinagara,12,1,58h,POINT (77.54867 13.00592)
1st Block Vidyaranyapura,298,28,3wk,POINT (77.55539 13.07023)
1st Block Vidyaranyapura,233,11,483,POINT (77.5555 13.07021)
1st Block Vishweshwaraiah Layout,63,4,1uw,POINT (77.47876 12.93747)
1st Block Vishweshwaraiah Layout,2,2,460,POINT (77.4789 12.93752)
1st Cross Magadi Road,519,77,4um,POINT (77.563 12.97569)
1st Cross Magadi Road,353,48,57a,POINT (77.5628 12.97569)
1st Main Kodichikkanahalli,1,1,4nl,POINT (77.6155 12.89847)
1st Stage 3rd Block Nagarabhavi,4,2,6ay,POINT (77.52158 12.9533)
1st Stage 3rd Block Nagarabhavi (Nayandahalli),163,10,1wy,POINT (77.52026 12.95302)
1st Stage 3rd Block Nagarabhavi (Summanahalli),173,18,qm,POINT (77.52017 12.95286)
1st Stage HBR Layout,1,1,1rs,POINT (77.6263 13.02116)
2nd Stage  H B R Layout (2nd Cross),4,1,37v,POINT (77.61208 13.03172)
2nd Stage 11th Block Nagarabhavi,1,1,2k1,POINT (77.51336 12.97758)
2nd Stage 11th Block Nagarabhavi,1,1,5qn,POINT (77.51333 12.97754)
2nd Stage 9th Block Nagarabhavi,1,1,3f0,POINT (77.51027 12.96864)
2nd Stage H B R Layout (1st Main),4,1,147,POINT (77.61556 13.02881)
2nd Stage Kanteeravanagara,17,3,29f,POINT (77.53901 13.01505)
2nd stage Kuvempunagara,24,5,35t,POINT (77.54132 13.07313)
2nd stage Kuvempunagara,9,4,9o,POINT (77.54142 13.07306)
