Date,MaxTemperature,MinTemperature,AverageTemperature,Humidity,Rainfall,WindSpeed
2025-01-01,26.6,16.0,20.9,67,0.0,14.7
2025-01-02,26.4,16.2,20.6,70,0.0,14.2
2025-01-03,25.9,16.4,20.3,69,0.0,15.9
2025-01-04,25.8,14.2,19.7,70,0.0,12.5
2025-01-05,26.5,14.9,20.2,68,0.0,11.6
2025-01-06,26.2,15.8,20.5,67,0.0,11.9
2025-01-07,27.3,15.3,21.3,61,0.0,10.2
2025-01-08,27.1,16.4,21.0,59,0.0,12.6
2025-01-09,25.9,14.6,19.8,70,0.0,16.7
2025-01-10,26.9,16.0,20.8,70,0.0,14.7
2025-01-11,27.7,17.7,21.8,73,0.0,13.7
2025-01-12,28.7,17.2,21.8,74,0.0,14.7
2025-01-13,28.2,19.0,22.5,75,0.8,14.5
2025-01-14,27.5,18.6,22.2,74,0.1,16.2
2025-01-15,25.5,16.8,20.4,73,0.2,15.7
2025-01-16,26.7,16.1,20.8,70,0.0,17.7
2025-01-17,26.7,16.2,20.8,72,0.0,14.8
2025-01-18,27.3,15.8,21.2,68,0.0,14.2
2025-01-19,22.9,18.3,20.0,83,6.0,15.6
2025-01-20,27.3,17.9,21.6,68,0.0,11.5
2025-01-21,27.8,15.7,21.0,58,0.0,11.6
2025-01-22,28.6,15.4,21.6,59,0.0,13.8
2025-01-23,29.7,16.7,22.4,63,0.0,13.0
2025-01-24,27.7,16.3,21.3,63,0.0,12.1
2025-01-25,29.0,14.9,21.4,60,0.0,13.9
2025-01-26,29.1,15.1,21.9,48,0.0,15.9
2025-01-27,28.2,15.0,21.4,54,0.0,12.0
2025-01-28,28.1,15.5,21.3,57,0.0,11.2
2025-01-29,29.4,15.2,21.9,59,0.0,12.5
2025-01-30,29.3,16.1,22.4,64,0.0,10.5
2025-01-31,30.5,18.5,24.2,62,0.0,10.9
2025-02-01,30.5,19.4,24.5,57,0.0,12.5
2025-02-02,31.0,17.5,24.0,48,0.0,12.1
2025-02-03,30.3,16.8,23.4,45,0.0,12.6
2025-02-04,30.7,17.0,23.9,40,0.0,14.3
2025-02-05,30.4,18.2,23.9,42,0.0,14.6
2025-02-06,29.7,17.4,23.4,41,0.0,13.9
2025-02-07,30.1,17.3,23.4,41,0.0,14.6
2025-02-08,29.9,17.6,23.6,46,0.0,16.1
2025-02-09,29.6,18.0,23.6,50,0.0,16.5
2025-02-10,28.9,17.1,22.8,56,0.0,13.8
2025-02-11,30.7,16.6,23.3,48,0.0,12.5
2025-02-12,31.6,17.0,24.3,36,0.0,13.3
2025-02-13,31.9,17.8,24.9,33,0.0,13.4
2025-02-14,32.1,18.4,25.4,31,0.0,11.8
2025-02-15,31.3,19.2,25.4,35,0.0,12.9
2025-02-16,31.9,18.8,25.1,39,0.0,14.0
2025-02-17,31.8,18.3,24.7,43,0.0,13.6
2025-02-18,31.7,18.3,24.9,45,0.0,14.9
2025-02-19,32.9,18.9,25.8,42,0.0,13.1
2025-02-20,32.7,19.5,25.7,46,0.0,15.3
2025-02-21,32.3,18.5,25.3,45,0.0,14.1
2025-02-22,32.2,18.5,25.5,47,0.0,16.4
2025-02-23,31.9,19.8,25.6,40,0.0,18.2
2025-02-24,30.5,19.2,24.7,39,0.0,17.2
2025-02-25,30.1,17.5,23.8,49,0.0,15.9
2025-02-26,30.7,18.6,24.3,45,0.0,17.1
2025-02-27,30.9,17.9,24.3,41,0.0,16.4
2025-02-28,31.4,17.7,24.5,46,0.0,14.8
2025-03-01,31.4,18.7,24.7,63,0.0,14.2
2025-03-02,32.2,19.6,25.8,55,0.0,14.2
2025-03-03,33.1,20.2,26.7,47,0.0,15.3
2025-03-04,33.1,21.6,27.2,36,0.0,17.5
2025-03-05,33.2,21.7,27.6,30,0.0,16.1
2025-03-06,33.3,21.9,27.5,33,0.0,15.3
2025-03-07,34.0,20.3,27.0,30,0.0,12.4
2025-03-08,34.2,19.7,26.8,32,0.0,11.2
2025-03-09,33.7,20.1,26.6,36,0.0,16.7
2025-03-10,31.6,17.8,24.5,53,0.0,16.9
2025-03-11,31.2,18.2,23.4,65,2.5,21.6
2025-03-12,30.7,20.0,24.5,70,2.3,16.7
2025-03-13,34.0,18.7,26.3,51,0.0,14.8
2025-03-14,34.4,19.7,27.4,39,0.0,15.9
2025-03-15,33.7,20.4,26.9,35,0.0,17.1
2025-03-16,33.4,19.8,26.7,46,0.0,14.9
2025-03-17,35.1,21.4,27.3,53,0.0,17.4
2025-03-18,34.8,21.4,27.9,46,0.0,15.2
2025-03-19,33.8,21.6,27.2,52,0.0,14.4
2025-03-20,33.1,20.2,26.4,54,0.0,13.2
2025-03-21,34.0,20.0,26.8,54,0.0,13.7
2025-03-22,33.2,21.5,24.7,71,23.8,18.4
2025-03-23,29.7,20.2,24.1,75,0.1,13.4
2025-03-24,30.7,19.8,24.7,68,0.0,11.9
2025-03-25,31.2,20.1,25.3,60,0.0,12.9
2025-03-26,33.6,19.6,26.5,47,0.0,12.1
2025-03-27,33.9,20.6,27.4,43,0.0,15.1
2025-03-28,35.2,21.8,28.0,40,0.0,13.0
2025-03-29,34.9,22.2,28.4,32,0.0,15.7
2025-03-30,34.4,22.0,28.0,28,0.0,17.4
2025-03-31,34.4,21.5,28.0,31,0.0,16.7
2025-04-01,33.3,19.6,26.4,50,0.0,13.9
2025-04-02,32.6,20.4,26.1,59,0.1,13.9
2025-04-03,32.7,20.6,25.3,68,8.0,11.6
2025-04-04,29.1,19.9,23.3,77,3.0,10.4
2025-04-05,31.1,19.5,24.9,69,0.0,9.8
2025-04-06,32.9,20.9,26.8,56,0.0,13.3
2025-04-07,34.8,21.0,27.7,49,0.0,16.5
2025-04-08,34.4,20.3,27.5,46,0.0,20.6
2025-04-09,33.3,20.6,27.4,43,0.0,14.2
2025-04-10,33.2,20.8,27.3,48,0.0,11.1
2025-04-11,34.1,20.7,26.3,57,4.7,13.0
2025-04-12,33.5,20.6,25.7,60,1.5,11.0
2025-04-13,32.1,21.1,26.3,55,0.3,9.0
2025-04-14,33.7,21.4,26.8,52,0.7,14.1
2025-04-15,33.6,20.7,27.3,47,0.0,12.3
2025-04-16,34.0,21.7,25.7,64,10.8,18.2
2025-04-17,33.3,21.1,27.2,56,0.1,7.6
2025-04-18,33.6,21.3,26.7,62,1.1,10.4
2025-04-19,32.9,21.0,26.8,63,0.0,9.8
2025-04-20,34.4,21.1,26.7,62,0.1,13.1
2025-04-21,34.2,20.9,27.5,55,0.0,13.7
2025-04-22,34.6,21.9,28.3,43,0.0,14.1
2025-04-23,35.5,21.7,29.0,42,0.0,12.5
2025-04-24,36.2,21.1,29.0,47,0.0,14.6
